,Stock,fiscalDateEnding,PER,PBV,Acid_test,ATR,CCC,ROA,DER,NPM,EM,Return
18,HES,2018-12-31,-288.2207972208659,1.4144979531755513,26.970165289256197,0.21360130871698996,735.104895104895,-0.004907688712315962,0.8623993032876116,-0.022975929978118162,1.863270193773133,0
0,HIG,2023-06-30,39.47806762980523,1.9570761843908266,41.12283287419651,0.5476278724981468,112.73783323684242,0.04957375833951075,0.8668050510292337,0.09052453468697123,1.8668050510292338,0
1,HIG,2023-03-31,34.60110561714107,1.866475978431733,12.466386554621849,0.5509662056964924,111.8951731378206,0.05394266874255884,0.9466928151185594,0.09790558510638298,1.9466928151185594,0
2,HIG,2022-12-31,64.8356217690977,2.086904270767577,76.11111111111111,0.5298139004937333,117.2458578282359,0.03218761868590961,0.985296889726673,0.06075268817204301,1.985296889726673,1
3,HIG,2022-09-30,40.34496307373047,1.7086191916001838,14.88888888888889,0.5124952308279282,112.39615648886704,0.04235024799694773,1.05932036927912,0.0826353992183138,2.05932036927912,0
4,HIG,2022-06-30,42.89194479914336,1.8174205209010528,15.462857142857143,0.5158297465327595,103.75724469544781,0.042372070779531326,1.0411948457633737,0.08214351937697015,2.0411948457633735,1
5,HIG,2022-03-31,28.54985994566615,2.01538180501507,12.291696032205586,0.5631838868984216,93.39382772501486,0.07059165294858138,1.003686457120683,0.12534387895460797,2.003686457120683,1
6,HIG,2021-12-31,41.56387389250316,1.871442056626485,3.7342858872153153,0.5311536665109762,96.02821969338895,0.04502568893040635,0.9864538875487103,0.08476960956735842,1.9864538875487103,0
7,HIG,2021-09-30,22.47251822118601,1.9385786855565095,21.646153846153847,0.5327423505862168,93.6308370612244,0.08626441711943571,1.1211079660331582,0.16192521023438897,2.121107966033158,1
8,HIG,2021-06-30,71.67403430249318,1.7163718543297557,13.282926829268293,0.5096172340834776,90.25159851542496,0.023946912867859205,1.1617463617463617,0.04698999811285148,2.1617463617463617,0
9,HIG,2021-03-31,35.86380718806602,1.9907860719445374,8.687898089171975,0.5507545999586521,90.8772375965386,0.05550961339673351,1.0137385512073271,0.10078828828828829,2.0137385512073274,1
10,HIG,2020-12-31,30.662508646647137,1.4619394898526057,35.93333333333333,0.537135140749974,97.26083713224095,0.04767840448737925,0.9755797250153909,0.08876426223167666,1.975579725015391,0
11,HIG,2020-09-30,22.691191110855495,1.1124531154284907,62.475,0.530902996019275,88.83085984369795,0.04902576995600252,0.9164826340092351,0.09234411996842937,1.9164826340092351,0
12,HIG,2020-06-30,40.23353341909555,1.161687427119311,3.2237017310252996,0.5241671073506081,89.45784930287292,0.028873611845584346,0.983011744966443,0.05508474576271186,1.983011744966443,1
13,HIG,2020-03-31,18.288578325814573,1.054851165408524,3.3002754820936637,0.5642563940637828,86.37825234903805,0.057678139143248076,0.9597772277227723,0.10221973512404402,1.9597772277227723,0
14,HIG,2019-12-31,31.998668556569893,1.8111815147868062,4.074675324675325,0.5657003808717732,87.00335943925676,0.05660177740160813,0.9907329401853412,0.10005610622779129,1.9907329401853413,1
15,HIG,2019-09-30,45.82599957784017,1.976495286139889,26.970165289256197,0.5903768115942029,81.36855625416635,0.043130434782608695,0.8169370128502212,0.07305577376276512,1.8169370128502211,0
16,HIG,2019-06-30,25.307660965692428,1.7672164052744659,26.970165289256197,0.547550432276657,82.33173579644475,0.06982930614054533,0.760390243902439,0.12753036437246965,1.760390243902439,0
17,HIG,2019-03-31,72.40399524143764,1.5852528001923343,26.970165289256197,0.5175379803395889,84.3013908762704,0.021894548704200177,0.7776012708498808,0.042305201813080076,1.777601270849881,0
18,HIG,2018-12-31,29.556731347684504,1.4919967214535763,26.970165289256197,0.565786398691283,17.702930279555407,0.050479083898107034,0.8623993032876116,0.08921933085501858,1.863270193773133,0
0,HII,2023-06-30,517.5499459200128,6.186429116353006,26.970165289256197,0.2477761304670126,1095.0454998753426,0.011953298739807265,0.8668050510292337,0.04824233358264772,1.8668050510292338,1
1,HII,2023-03-31,492.3490446757495,5.5461976824908135,12.466386554621849,0.2575327410935067,958.4384858251141,0.011264767835882407,0.9466928151185594,0.043741109530583216,1.9466928151185594,0
2,HII,2022-12-31,484.59691641987234,6.349636770408506,76.11111111111111,0.24933535890619066,892.5029965165496,0.013102924420812762,0.985296889726673,0.05255140898705255,1.985296889726673,1
3,HII,2022-09-30,360.02252265844453,6.112553322510791,14.88888888888889,0.25391072109881724,911.2037502854666,0.016978252575352917,1.05932036927912,0.06686701728024042,2.05932036927912,0
4,HII,2022-06-30,452.4583516802106,6.058744068410282,15.462857142857143,0.246389287422286,803.8847912353345,0.013390722142515544,1.0411948457633737,0.05434782608695652,2.0411948457633735,0
5,HII,2022-03-31,482.1659469604492,5.602780443038046,5.919964430473986,0.25922339498402247,655.8310546631799,0.011620025176721217,1.003686457120683,0.04482629809488233,2.003686457120683,0
6,HII,2021-12-31,368.66156005859375,5.06242403817032,3.7342858872153153,0.21840261560018684,758.4333176964045,0.01373190098085007,0.9864538875487103,0.06287425149700598,1.9864538875487103,0
7,HII,2021-09-30,433.04119873046875,5.324784542582258,21.646153846153847,0.21265846916404538,859.7385396807036,0.012296253931941665,1.1211079660331582,0.057821604661586735,2.121107966033158,1
