Stock,fiscalDateEnding,PER,PBV,Acid_test,ATR,CCC,ROA,DER,NPM,EM,Return
NVDA,3/31/23,58.13623236800522,7.528586186313707,12.466386554621849,0.5541716274384101,181.9730513508636,0.12949903837347743,0.9466928151185594,0.2336803834077012,1.9466928151185594,0
ESS,3/31/20,447.32772773645263,6.364662339845189,3.3002754820936637,0.039507946531944005,1293.8242905934933,0.014228186506683506,0.9597772277227723,0.36013480212593074,1.9597772277227723,0
GOOG,9/30/19,1.8995174662221002,2.1906666940882586,16.508378591105863,4.526956522,15.26153087906231,1.1532753623188405,0.8169370128502212,0.2547573312844154,1.8169370128502211,0
MOH,6/30/23,276.8404894677278,8.234414114079005,26.970165289256197,0.7550963676797627,93.09559641524724,0.029744255,0.8668050510292337,0.039391336,1.8668050510292338,0
IQV,9/30/21,414.7463883754185,6.918369837546301,21.646153846153847,0.31874940425126297,174.70277632047365,0.016680965,1.1211079660331582,0.052332536,2.121107966033158,0
LMT,12/31/22,79.14632516180839,13.361390632139699,76.11111111111111,1.5745347512343335,44.398114585832786,0.16881883782757312,0.98529689,0.10721823554242296,1.985296889726673,1
MDLZ,6/30/21,18.693456195271597,1.7276794964085407,13.282926829268293,0.6960954029621081,85.65236480787522,0.09242162,1.1617463617463617,0.13277148383531362,2.1617463617463617,1
FAST,9/30/19,44.60728674223928,1.0581624194159025,26.970165289256197,0.1582840579710145,343.6422130158595,0.023721739130434783,0.8169370128502212,0.14986815118663932,1.8169370128502211,0
MDLZ,3/31/21,14.59007968,1.743449669917408,8.687898089171975,0.7543932189373579,83.80569882964426,0.11949555509613397,1.0137385512073271,0.15839956152370513,2.0137385512073274,0
CPT,12/31/22,1073.5557718740968,3.042081129492076,76.11111111111111,0.032776016,2210.188610852796,0.00283365,0.98529689,0.086454981,1.985296889726673,1
AON,12/31/22,215.81423142377068,8.360444969701712,76.11111111111111,0.2505696923661223,296.0900847907344,0.038739081,0.98529689,0.15460401667298218,1.985296889726673,0
CDW,12/31/18,134.50943184210414,2.8872847194898963,26.970165289256197,0.5067305445197476,25.95363306421747,0.021465295629820053,0.8623993032876116,0.042360374,1.863270193773133,0
FTV,12/31/22,99.50603386676582,1.7941697523071427,76.11111111111111,0.13573870110140523,532.6424107050583,0.018030763387770606,0.98529689,0.13283435926133183,1.985296889726673,0
IBM,6/30/19,21.307989354256488,3.7575937777235726,11.230934850836686,2.015295943249834,28.789125268329137,0.17634670804699623,0.760390244,0.087504125,1.760390243902439,0
AAPL,6/30/23,2.3652311192443043,5.295031860724832,32.808468864468864,8.701445515196442,9.301850597529569,2.238695329873981,0.8668050510292337,0.2572785551508956,1.8668050510292338,1
ON,3/31/21,142.59606950738458,1.3118720473596472,8.687898089171975,0.14950382468472193,411.67524950225925,0.009199917,1.0137385512073271,0.061536334093894765,2.0137385512073274,1
MGM,3/31/22,96.01163513640614,1.2180470953932387,5.919964430473986,0.2755166069526484,323.4934534999103,0.012686452987314805,1.003686457120683,0.046046055545011705,2.003686457120683,1
AMAT,12/31/19,26.04585622443169,1.923403263293834,4.074675324675325,0.3971646212441811,152.9903511725857,0.073846805,0.9907329401853412,0.18593500266382526,1.9907329401853413,1
HPE,3/31/22,9.318193915294625,0.4628869447609318,5.919964430473985,0.6740582937929699,175.23584067376686,0.049675608,1.003686457120683,0.073696308,2.003686457120683,1
LKQ,3/31/23,85.72863061649284,1.523157279934024,12.466386554621849,0.2748420184998626,294.6713009799134,0.017767194798058432,0.9466928151185594,0.064645118,1.9466928151185594,0
AMD,12/31/19,118.08950157165528,1.4992319285440787,4.074675324675325,0.18377063055438003,307.83042695043366,0.012695725772323318,0.9907329401853412,0.069084629,1.9907329401853413,1
CME,12/31/22,71.72663847511835,4.628315942621575,76.11111111111111,0.11657804785415875,930.2079600369223,0.064527155,0.98529689,0.5535103437041864,1.985296889726673,0
PNC,3/31/23,22.645630493164063,3.3183449756445187,12.466386554621849,0.527795586,153.43514757773437,0.1465335653448118,0.9466928151185594,0.2776331771646712,1.9466928151185594,0
AMT,3/31/20,109.65262535560272,6.494214534,3.3002754820936637,0.20247342385012104,378.83239143008785,0.059225345,0.9597772277227723,0.2925092270104486,1.9597772277227723,0
COP,3/31/19,9.582192133019262,1.999501218105449,40.37494397759104,1.1573949955317246,59.11589332621327,0.20866845397676498,0.7776012708498808,0.18029147765659687,1.777601270849881,1
PWR,6/30/20,309.9006448124604,1.2679869217572548,3.2237017310252996,0.29094690639873083,174.33385141416926,0.004091592,0.983011745,0.014063018579717278,1.983011744966443,0
AOS,6/30/21,214.66935227080765,2.0170413268761216,13.282926829268293,0.073860358,718.5413678,0.009396038,1.1617463617463617,0.12721354166666668,2.1617463617463617,1
ETN,3/31/21,84.45777989437705,4.146934613379067,8.687898089171975,0.49431465784577217,123.97062589704048,0.049100682241058506,1.0137385512073271,0.099330824,2.0137385512073274,0
IRM,6/30/22,325.4995739046554,1.316911188578959,15.462857142857143,0.11937312290769966,550.6228667675402,0.004045815,1.0411948457633737,0.033892180256176456,2.0411948457633735,1
HES,3/31/20,-44.21898928,1.0332192000483553,3.3002754820936637,0.17882328175981477,980.5897553749394,-0.023365961,0.9597772277227723,-0.130665097,1.9597772277227723,0
AFL,12/31/22,13.060433117668133,1.979154126072763,76.11111111111111,0.45765286745157613,142.12740527902685,0.15153816938853018,0.98529689,0.33112033195020746,1.985296889726673,1
ISRG,6/30/21,217.88327092943186,8.932836929911213,13.282926829268293,0.12925562608193883,477.8814541805094,0.040998268897864974,1.1617463617463617,0.3171875,2.1617463617463617,0
